id,name,iata,icao,callsign,country,active
1719,Chabahar Airlines,,IRU,CHABAHAR,Iran,false
1720,Chalair Aviation,,CLG,CHALLAIR,France,false
1722,Challenge Air Transport,,CLS,AIRISTO,Germany,false
1723,Challenge Aviation,,CHS,CHALLENGE AVIATION,Australia,false
1724,Challenge International Airlines,,OFF,CHALLENGE AIR,United States,false
1725,AC Challenge Aero,,CHG,SKY CHALLENGER,Ukraine,false
1726,Champagne Airlines,,CPH,CHAMPAGNE,France,false
1728,Chanchangi Airlines,,NCH,CHANCHANGI,Nigeria,false
1729,Changan Airlines,2Z,CGN,CHANGAN,China,false
1730,Channel Island Aviation,,CHN,CHANNEL,United States,false
1731,Chantilly Air,,WML,MARLIN,United States,false
1732,Chaparral Airlines,,CPL,CHAPARRAL,United States,false
1734,Charlan Air Charter,,CAH,CHARLAN,South Africa,false
1735,Charlie Hammonds Flying Service,,HMD,HAMMOND,United States,false
1736,Charlotte Air National Guard,,CGD,,United States,false
1737,Charter Air,,CHW,CHARTER WIEN,Austria,true
1738,Chartright Air,,HRT,CHARTRIGHT,Canada,false
1740,Cheboksary Airenterprise JSC,,CBB,CHEBAIR,Russia,false
1741,Chemech Aviation,,CHM,,Pakistan,false
1742,Cherline,,CHZ,CHERL,Russia,false
1743,Chernomor-Avia,,CMK,CHERAVIA,Russia,false
1744,Cherokee Express,,CBM,BLUE MAX,United States,false
1745,Cherry Air,,CCY,CHERRY,United States,false
1746,Chesapeake Air Service,,CAB,CHESAPEAKE AIR,United States,false
1747,Chevron U.S.A,,CVR,CHEVRON,United States,false
1748,Cheyenne Airways,,CYA,CHEYENNE AIR,United States,false
1749,Chicago Air,,CGO,WILD ONION,United States,false
1750,Chicago Express,C8,WDY,WINDY CITY,United States,false
1751,Chief Rat Flight Services,,RAT,RIVERRAT,South Africa,false
1752,Chilchota Taxi Aereo,,CCH,CHILCHOTA,Mexico,false
1753,Chilcotin Caribou Aviation,,DES,CHILCOTIN,Canada,false
1754,Chilliwack Aviation,,CAD,CHILLIWACKAIR,Canada,false
1755,Chim-Nir Aviation,,ETN,CHMINIR,Israel,false
1756,China Airlines,CI,CAL,DYNASTY,Taiwan,true
1758,China Eastern Airlines,MU,CES,CHINA EASTERN,China,true
1759,China Express Airlines,,HXA,CHINA EXPRESS,China,false
1760,China Flying Dragon Aviation,,CFA,FEILONG,China,false
1761,China General Aviation Corporation,,CTH,TONGHANG,China,false
1762,China National Aviation Corporation,,CAG,CHINA NATIONAL,China,false
1765,China Ocean Helicopter Corporation,,CHC,CHINA HELICOPTER,China,false
1767,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China,true
1768,China Southwest Airlines,,CXN,CHINA SOUTHWEST,China,false
1769,China United Airlines,HR,CUA,LIANHANG,China,true
1772,Chinguetti Airlines,,CGU,CHINGUETTI,Mauritania,false
1773,Chipola Aviation,,CEP,CHIPOLA,United States,false
1774,Chippewa Air Commuter,,CPW,CHIPPEWA-AIR,United States,false
1775,Chitaavia,X7,CHF,CHITA,Russia,false
1776,Christman Air System,,CAS,CHRISTMAN,United States,false
1777,Christophorus Flugrettungsverein,,OEC,CHRISTOPHORUS,Austria,false
1778,Chrome Air Services,,CHO,CHROME AIR,United States,false
1779,Church Aircraft,,CHU,CHURCHAIR,United States,false
1780,Cielos Airlines,A2,CIU,CIELOS,Peru,false
1782,Cirrus,,RRU,HELICIRRUS,Chile,false
1783,Cirrus Air,,NTS,NITE STAR,United States,false
1785,Cirrus Middle East,,JTI,,Lebanon,false
1786,Citationshares,,FIV,FIVE STAR,United States,false
1787,Citibank,,XCX,,United States,false
1788,Citic General Aviation,,HZX,ZHONGXIN,China,false
1790,City Connexion Airlines,G3,CIX,CONNEXION,Burundi,true
1791,City of Bangor,,XBG,,United States,false
1792,CityJet,WX,BCY,CITY-IRELAND,Ireland,true
1793,Cityair (Chester) Limited,,CAQ,AIR CHESTER,United Kingdom,false
1794,Cityfly,,CII,CITYFLY,Italy,false
1796,Cityline Hungary,,CNB,CITYHUN,Hungary,false
1797,Citylink Airlines,,HSR,HOOSIER,United States,false
1798,Civair Airways,,CIW,CIVFLIGHT,South Africa,false
1799,Civil Air Patrol South Carolina Wing,,BKR,BOX KAR,United States,false
1801,Civil Aviation Authority,,CIA,CALIMERA,Slovakia,false
1802,Civil Aviation Authority of New Zealand,,CIV,CIVAIR,New Zealand,false
1803,Civil Aviation Inspectorate of the Czech Republic,,CBA,CALIBRA,Czech Republic,false
1804,Claessens International Limited,,FMC,CLAESSENS,United Kingdom,false
1805,Clark Aviation,,CLK,CLARKAIR,United States,false
1806,Clasair,,CSF,CALEDONIAN,United Kingdom,false
1807,Clay Lacy Aviation,,CLY,CLAY-LACY,United States,false
1809,Cloud 9 Air Charters,,CLZ,CLOUDLINE,South Africa,false
1810,Clowes Estates Limited,,CLD,CLOWES,United Kingdom,false
1811,Club 328,,SDJ,SPACEJET,United Kingdom,false
1813,Coast Air,BX,CST,COAST CENTER,Norway,false
1815,Coastal Air Transport,,TCL,TRANS COASTAL,United States,false
1816,Coastal Airways,,CNG,SID-AIR,United States,false
1817,Coastal Travels,,CSV,COASTAL TRAVEL,Tanzania,false
1818,Cohlmia Aviation,,CHL,COHLMIA,United States,false
1819,Colaereos,,OLR,COLAEREOS,Ecuador,false
1820,Colemill Enterprises,,CLE,COLEMILL,United States,false
1822,Colibri Aviation,,CAE,HUMMINGBIRD,Canada,false
1823,Colt International,,CCX,,United States,false
1824,Columbia Airlines,,COL,COLAIR,Canada,false
1825,Columbia Helicopters,,WCO,COLUMBIA HELI,United States,false
1826,Columbus Air Transport,,KLR,KAY-LER,United States,false
1827,Colvin Aviation,,GHP,GRASSHOPPER EX,United States,false
1829,Comair,MN,CAW,COMMERCIAL,South Africa,true
1830,Comed Group,,CDE,COMEX,United Kingdom,false
1831,Comeravia,,CVV,COMERAVIA,Venezuela,false
1832,Comercial Aerea,,CRS,COMERCIAL AEREA,Mexico,false
1833,Comet Airlines,,CMG,SUNSPY,Nigeria,false
1834,Comfort Air,,FYN,FLYNN,Germany,false
1835,Comlux Aviation,,CLA,COMLUX,Switzerland,false
1836,Commair Aviation,,CMH,COMMODORE,United Kingdom,false
1837,Commandement Du Transport Aerien Militaire Francais,,CTM,COTAM,France,false
1838,Commander Air Charter,,CML,COMMANDAIR,Canada,false
1839,Commander Mexicana,,CRM,COMMANDERMEX,Mexico,false
1840,Commercial Aviation,,CMS,ACCESS,Canada,false
1841,Commodore Aviation,,GAR,,Australia,false
1842,Commonwealth Jet Service,,CJS,COMMONWEALTH,United States,false
1845,Compagnia Generale Ripreseaeree,,CGR,COMPRIP,Italy,false
1846,Compagnie Aerienne du Mali,,CMM,CAMALI,Mali,false
1847,Compagnie Mauritanienne Des Transports,,CPM,,Mauritania,false
1848,Compagnie de Bauxites de Guinee,,GIC,CEBEGE,Guinea,false
1849,Compania Aerea de Valencia,,AIF,,Spain,false
1850,Compania Aerotecnicas Fotograficas,,ATF,AEROTECNICAS,Spain,false
1852,Compania De Actividades Y Servicios De Aviacion,,LCT,STELLAIR,Spain,false
1853,Compania Ejecutiva,,EJV,EJECUTIVA,Mexico,false
1854,Compania Helicopteros Del Sureste,,HSE,HELISURESTE,Spain,false
1855,Compania Mexicana De Aeroplanos,,MDR,AEROPLANOS,Mexico,false
1857,Compania Transportes Aereos Del Sur,,HSS,TAS HELICOPTEROS,Spain,false
1858,Compania de Servicios Aereos Tavisa,,TAV,TAVISA,Spain,false
1859,Company Flight,,CYF,COMPANY FLIGHT,Denmark,false
1861,Compass International Airways,,CPS,COMPASS,United Kingdom,false
1862,Compuflight Operations Service,,XCO,,United States,false
1863,Compuserve Incorporated,,XCS,,United States,false
1864,Conair Aviation,,CRC,CONAIR-CANADA,Canada,false
1865,Concordavia,,COD,CONCORDAVIA,Ukraine,false
1866,Condor Aero Services,,CNR,CONAERO,United States,false
1867,Condor,,CIB,CONDOR BERLIN,Germany,false
1868,Condor Flugdienst,DE,CFG,CONDOR,Germany,true
1869,Confort Air,,COF,CONFORT,Canada,false
1870,Congo Air,,CAK,,Bahamas,false
1871,Congressional Air,,CGA,CONGRESSIONAL,United States,false
1872,Conifair Aviation,,ROY,,Canada,false
1873,Connectair Charters,,BSN,BASTION,Canada,false
1874,Conquest Airlines,,CAC,CONQUEST AIR,United States,false
1875,Conroe Aviation Services,,CXO,CONROE AIR,United States,false
1877,Consorcio Helitec,,VCH,CONSORCIO HELITEC,Venezuela,false
1878,Constanta Airline,,UZA,CONSTANTA,Ukraine,false
1880,Contel ASC,,XCL,,United States,false
1882,Continental Airways,PC,PVV,CONTAIR,Russia,false
1885,Continental Oil,,CON,CONOCO,United States,false
1886,Conviasa,V0,VCV,CONVIASA,Venezuela,true
1887,Cook Inlet Aviation,,CKA,COOK-AIR,United States,false
1888,Cooper Aerial Surveys,,SVY,SURVEYOR,United Kingdom,false
1889,Copa Airlines,CM,CMP,COPA,Panama,true
1890,Copenhagen Airtaxi,,CAT,AIRCAT,Denmark,false
1891,Copper State Air Service,,COP,COPPER STATE,United States,false
1892,Copterline,,AAQ,COPTERLINE,Finland,true
1893,Coptrade Air Transport,,CCW,COPTRADE AIR,Sudan,false
1894,Corendon Airlines,,CAI,CORENDON,Turkey,true
1895,Coronado Aerolineas,,CRA,CORAL,Colombia,false
1896,Corpac Canada,,CPB,PENTA,Canada,false
1897,Corporacion Aereo Cencor,,CNC,CENCOR,Mexico,false
1898,Corporacion Aeroangeles,,CPG,CORPORANG,Mexico,false
1899,Corporacion Paraguaya De Aeronautica,,CGY,,Paraguay,false
1900,Corporate Air,,CPT,AIR SPUR,United States,false
1901,Corporate Air,,CPR,CORPAIR,United States,false
1902,Corporate Aircraft Company,,CPO,MOKAN,United States,false
1903,Corporate Airlink,,COO,CORPORATE,Canada,false
1904,Corporate Aviation Services,,CKE,CHECKMATE,United States,false
1905,Corporate Flight International,,VHT,VEGAS HEAT,United States,false
1906,Corporate Flight Management,,VTE,VOLUNTEER,United States,false
1907,Corporate Jets,,CJI,SEA JET,United States,false
1908,Corsairfly,SS,CRL,CORSAIR,France,true
1909,Corse-Mediterranee,XK,CCM,CORSICA,France,true
1910,Cosmic Air,F5,COZ,COSMIC AIR,Nepal,false
1911,Cougar Helicopters,,CHI,COUGAR,Canada,false
1912,Coulson Flying Service,,MGB,MOCKINGBIRD,United Kingdom,false
1913,Country Connection Airlines,,NSW,,Australia,false
1915,Courier Services,,CSD,DELIVERY,United States,false
1916,Court Helicopters,,CUT,COURT AIR,South Africa,false
1917,Coval Air,,CVL,COVAL,Canada,false
1918,Cowi,,COW,COWI,Netherlands,false
1919,Coyne Aviation,,COY,COYNE AIR,United Kingdom,false
1920,Cranfield University,,CFD,AERONAUT,United Kingdom,false
1921,Cree Airways,,CRE,CREE AIR,Canada,false
1922,Crelam,,ELM,CRELAM,Mexico,false
1923,Crest Aviation,,CAN,CREST,United Kingdom,true
1924,Crimea Universal Avia,,KRM,TRANS UNIVERSAL,Ukraine,false
1925,Croatia Airlines,OU,CTN,CROATIA,Croatia,true
1926,Croatian Air Force,,HRZ,CROATIAN AIRFORCE,Croatia,false
1927,Cross Aviation,,CRX,CROSSAIR,United Kingdom,false
1929,Crow Executive Air,,CWX,CROW EXPRESS,United States,false
1930,Crown Air Systems,,CKR,CROWN AIR,United States,false
1931,Crown Airways,,CRO,CROWN AIRWAYS,United States,true
1932,Crownair,,CRW,REGAL,Canada,false
1933,Cruiser Linhas Aereas,,VCR,VOE CRUISER,Brazil,false
1934,Cryderman Air Service,,CTY,CENTURY,United States,false
1935,Crystal Shamrock,,CYT,CRYSTAL-AIR,United States,false
1936,Cubana de Aviación,CU,CUB,CUBANA,Cuba,true
1937,Cumberland Airways (Nicholson Air Service),,CBL,CUMBERLAND,United States,false
1938,Custom Air Transport,,CTT,CATT,United States,false
1939,Cygnus Air,,RGN,CYGNUS AIR,Spain,false
1940,Cyprair Tours,,CYC,CYPRAIR,Cyprus,false
1941,Cypress Airlines,,CYS,SKYBIRD,Canada,false
1942,Cyprus Airways,CY,CYP,CYPRUS,Cyprus,true
1944,Czech Air Force,,CEF,CZECH AIR FORCE,Czech Republic,false
1945,Czech Air Handling,,AHD,AIRHANDLING,Czech Republic,false
1946,Czech Airlines,OK,CSA,CSA-LINES,Czech Republic,true
